,ECLI,Datum,verdachte
0,ECLI:NL:RBAMS:2019:3053,26-04-2019,"geboren te [geboorteplaats] op [geboortedag] 1964, ingeschreven in de Basisregistratie Personen op het adres [BRP-adres] , gedetineerd in het Penitentiair Psychiatrisch Centrum [plaats] te [plaats] ."
1,ECLI:NL:RBMNE:2018:3961,21-08-2018,", geboren op [geboortedatum] 2004 te [geboorteplaats] (Irak), verblijvende in [verblijfplaats] te [woonplaats] ."
2,ECLI:NL:RBZWB:2021:2560,25-05-2021,"geboren op [geboortedag] 1990 te [geboorteplaats] gedetineerd in de Penitentiaire Inrichting te Dordrecht raadsman mr. M.R.J. Schönfeld, advocaat te Breda Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 11 mei 2021, waarbij de officier van justitie, mr. A.L. Gaillard, en de verdediging hun standpunten kenbaar hebben gemaakt."
3,ECLI:NL:RBLIM:2020:1697,28-02-2020,"geboren te [geboorteplaats] op [geboortedatum] 1987, wonende te [adresgegevens verdachte] , verblijvende in Detentiecentrum Alphen aan den Rijn te Alphen aan den Rijn. De verdachte wordt bijgestaan door mr. G.J.J.G. Stevens-Waltmans, advocaat kantoorhoudende te Roermond. Het onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 14 februari 2020. De verdachte en zijn raadsvrouw zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
4,ECLI:NL:RBOVE:2017:3565,14-09-2017,", geboren [1991] te [geboorteplaats] , wonende te [plaats] , thans in voorarrest verblijvende in PI Achterhoek, locatie Zutphen."
5,ECLI:NL:RBROT:2019:10756,31-12-2019,", geboren te Curaçao (Nederlandse Antillen) op [geboortedatum verdachte] , zonder vast woon- of verblijfplaats hier te lande, ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in de Penitentiaire Inrichting Dordrecht, raadsvrouw mr. I. Stas, advocaat te Almere."
6,ECLI:NL:RBNHO:2017:8043,31-08-2017,", geboren op [geboortedatum] te [geboorteplaats], Zonder vaste woon- of verblijfplaats hier ten lande, thans gedetineerd in PI HvB Ter Apel. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. M. Kubbinga en van hetgeen verdachte en zijn raadsman, mr. S. Ettalhaoui, advocaat te Amsterdam, naar voren hebben gebracht."
7,ECLI:NL:RBAMS:2021:7209,19-11-2021,"geboren te [geboorteplaats] op [geboortedag] 2000, wonende op het adres [adres 1] , thans gedetineerd te: [detentieplaats] ."
8,ECLI:NL:RBOVE:2017:639,09-02-2017,"geboren op [geboortedatum] 1992 te [geboorteplaats] (Somalië), zonder vaste woon- of verblijfplaats, verblijvende in P.I. Ter Apel."
9,ECLI:NL:RBGRO:2010:BM5192,20-05-2010,
10,ECLI:NL:RBMNE:2019:4790,15-10-2019,", geboren op [geboortedatum] 1962 te [geboorteplaats] (Suriname), wonende te [postcode] [woonplaats] , [adres] ."
11,ECLI:NL:RBMNE:2019:2703,11-06-2019,"geboren op [geboortedatum] 1975 te [geboorteplaats] (Nederlandse Antillen), ingeschreven in de Basisregistratie Personen op het adres [adres] , [postcode] te [woonplaats] ."
12,ECLI:NL:RBAMS:2018:7315,09-05-2018,"geboren te [geboorteplaats] [geboorteland] ) op [geboortedag] 1988, zonder vaste woon- of verblijfplaats in Nederland."
13,ECLI:NL:RBAMS:2018:1308,12-01-2018,", geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedatum] 1985, zonder vaste woon- of verblijfplaats in Nederland, ingeschreven in de Basisregistratie Personen op het adres [adres te plaats (land)] ."
14,ECLI:NL:RBMNE:2013:BZ2746,28-01-2013,"geboren te [geboorteplaats] op [1971], thans verblijvende in de Forensisch Psychiatrische Afdeling Roosenburg van Altrecht te Den Dolder."
15,ECLI:NL:RBNNE:2018:420,08-02-2018,"geboren op [geboortedatum] 1977 te [geboorteplaats], thans zonder vaste woon- of verblijfplaats, thans gedetineerd te P.I. Huis van Bewaring Ter Apel. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzittingen van 9 januari 2017 en 25 januari 2018. Verdachte is verschenen, bijgestaan door mr. K. Martens, advocaat te Assen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. L.J. van der Heide."
16,ECLI:NL:RBZLY:2009:BI2132,06-04-2009,[geboortedatum] [woonplaats]
17,ECLI:NL:RBLIM:2017:12653,22-12-2017,"geboren te [geboortegegevens] , BRP-adres: [adres] . De verdachte wordt bijgestaan door mr. F.A.G.M. Landerloo, advocaat kantoorhoudende te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 11 december 2017. De verdachte is niet verschenen. Wel is verschenen zijn gemachtigde raadsvrouw. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt. Voorts zijn ter terechtzitting de vorderingen behandeld van de benadeelde partijen [benadeelde 1] en Jumbo Supermarkt te Maastricht. Namens deze benadeelde partijen is niemand verschenen."
18,ECLI:NL:RBAMS:2019:7332,05-09-2019,", geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedag] 1967, ingeschreven in de Basisregistratie personen op het adres [adres 1] , [plaats] , gedetineerd in [plaats detentie] ."
19,ECLI:NL:RBAMS:2017:10121,27-12-2017,", geboren te [geboorteplaats] op [geboortedag] 1969, ingeschreven in de Basisregistratie Personen op het adres [adres 1] , gedetineerd in het [detentieadres] ."
20,ECLI:NL:RBNNE:2014:5316,24-10-2014,"geboren op [geboortedatum] te [geboorteplaats], thans gedetineerd in [verblijfplaats]. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 10 oktober 2014. De verdachte is verschenen, bijgestaan door mr. B.M.J.C. van Lee, advocaat te Donkerbroek. Het openbaar ministerie werd ter terechtzitting vertegenwoordigd door mr. G. Wilbrink."
21,ECLI:NL:RBUTR:2012:BX1633,05-03-2012,"geboren op [1975] te [geboorteplaats] thans gedetineerd in de Penitentiaire Inrichting Utrecht, locatie Wolvenplein te Utrecht Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 5 maart 2012. Tegen de verdachte is verstek verleend. De officier van justitie heeft haar standpunt kenbaar gemaakt."
22,ECLI:NL:RBUTR:2012:BV0091,03-01-2012,"geboren op [1985] te [geboorteplaats], zonder vaste woon- of verblijfplaats, gedetineerd voor deze zaak te PI Utrecht, Huis van Bewaring Wolvenplein te Utrecht, raadsman mr. R. Bonis, advocaat te Dordrecht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 20 december 2011, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting is ook de vordering tot tenuitvoerlegging behandeld met bovenvermeld parketnummer."
23,ECLI:NL:RBUTR:2010:BL8012,16-03-2010,"geboren in 1955 te [geboorteplaats] (Brits Somaliland) Gedetineerd in het Huis van Bewaring Wolvenplein te Utrecht; Raadsman mr. D.C. van den Heuvel, advocaat te Utrecht Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 02 maart 2010, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt."
24,ECLI:NL:RBZLY:2009:BJ3466,20-07-2009,"geboren in [geboortejaar] te [geboorteplaats], wonende te [adres]. ONDERZOEK VAN DE ZAAK Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting in eerste aanleg. Het onderzoek is gehouden ter openbare terechtzitting van 6 juli 2009, waarbij de verdachte is verschenen, bijgestaan door mr. F.L. Lischer, advocaat te Lelystad. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. B.E.M. van de Ven en van hetgeen door verdachte en diens raadsvrouw naar voren is gebracht."
25,ECLI:NL:RBNNE:2019:3360,01-08-2019,"geboren op [geboortedatum] 1975 te [geboorteplaats] , wonende te [straatnaam] , [woonplaats] , thans gedetineerd te P.I. Flevoland, HvB Lelystad. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van juli 2019. Verdachte is verschenen, bijgestaan door mr. V. Poelmeijer, advocaat te Amsterdam. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr T.H. Pitstra."
